2026-05-28 03:01:44.452658 IP 10.0.0.3.33008 > 10.0.0.2.5001: Flags [.], seq 21031:22479, ack 1, win 502, options [nop,nop,TS val 3617347847 ecr 1338686431], length 1448
2026-05-28 03:01:44.452659 IP 10.0.0.2.5001 > 10.0.0.3.33008: Flags [.], ack 22479, win 570, options [nop,nop,TS val 1338686444 ecr 3617347847], length 0
2026-05-28 03:01:44.452659 IP 10.0.0.3.33008 > 10.0.0.2.5001: Flags [.], seq 22479:23927, ack 1, win 502, options [nop,nop,TS val 3617347847 ecr 1338686431], length 1448
2026-05-28 03:01:44.452661 IP 10.0.0.2.5001 > 10.0.0.3.33008: Flags [.], ack 23927, win 559, options [nop,nop,TS val 1338686444 ecr 3617347847], length 0
2026-05-28 03:01:44.452661 IP 10.0.0.3.33008 > 10.0.0.2.5001: Flags [.], seq 23927:25375, ack 1, win 502, options [nop,nop,TS val 3617347847 ecr 1338686431], length 1448
2026-05-28 03:01:44.452669 IP 10.0.0.2.5001 > 10.0.0.3.33008: Flags [.], ack 25375, win 548, options [nop,nop,TS val 1338686444 ecr 3617347847], length 0
2026-05-28 03:01:44.452669 IP 10.0.0.3.33008 > 10.0.0.2.5001: Flags [.], seq 25375:26823, ack 1, win 502, options [nop,nop,TS val 3617347847 ecr 1338686431], length 1448
2026-05-28 03:01:44.452670 IP 10.0.0.3.33008 > 10.0.0.2.5001: Flags [.], seq 26823:28271, ack 1, win 502, options [nop,nop,TS val 3617347847 ecr 1338686431], length 1448
2026-05-28 03:01:44.452670 IP 10.0.0.3.33008 > 10.0.0.2.5001: Flags [.], seq 28271:29719, ack 1, win 502, options [nop,nop,TS val 3617347847 ecr 1338686431], length 1448
2026-05-28 03:01:44.452670 IP 10.0.0.3.33008 > 10.0.0.2.5001: Flags [.], seq 29719:31167, ack 1, win 502, options [nop,nop,TS val 3617347847 ecr 1338686431], length 1448
2026-05-28 03:01:44.452671 IP 10.0.0.3.33008 > 10.0.0.2.5001: Flags [.], seq 31167:32615, ack 1, win 502, options [nop,nop,TS val 3617347847 ecr 1338686431], length 1448
2026-05-28 03:01:44.452683 IP 10.0.0.2.5001 > 10.0.0.3.33008: Flags [.], ack 32615, win 576, options [nop,nop,TS val 1338686444 ecr 3617347847], length 0
2026-05-28 03:01:44.464131 IP 10.0.0.3.33008 > 10.0.0.2.5001: Flags [P.], seq 32615:33631, ack 1, win 502, options [nop,nop,TS val 3617347860 ecr 1338686444], length 1016
2026-05-28 03:01:44.464140 IP 10.0.0.2.5001 > 10.0.0.3.33008: Flags [.], ack 33631, win 623, options [nop,nop,TS val 1338686456 ecr 3617347860], length 0
2026-05-28 03:01:44.464141 IP 10.0.0.3.33008 > 10.0.0.2.5001: Flags [.], seq 33631:35079, ack 1, win 502, options [nop,nop,TS val 3617347860 ecr 1338686444], length 1448
2026-05-28 03:01:44.464142 IP 10.0.0.2.5001 > 10.0.0.3.33008: Flags [.], ack 35079, win 612, options [nop,nop,TS val 1338686456 ecr 3617347860], length 0
2026-05-28 03:01:44.464142 IP 10.0.0.3.33008 > 10.0.0.2.5001: Flags [.], seq 35079:36527, ack 1, win 502, options [nop,nop,TS val 3617347860 ecr 1338686444], length 1448
2026-05-28 03:01:44.464143 IP 10.0.0.2.5001 > 10.0.0.3.33008: Flags [.], ack 36527, win 601, options [nop,nop,TS val 1338686456 ecr 3617347860], length 0
2026-05-28 03:01:44.464143 IP 10.0.0.3.33008 > 10.0.0.2.5001: Flags [.], seq 36527:37975, ack 1, win 502, options [nop,nop,TS val 3617347860 ecr 1338686444], length 1448
2026-05-28 03:01:44.464144 IP 10.0.0.3.33008 > 10.0.0.2.5001: Flags [.], seq 37975:39423, ack 1, win 502, options [nop,nop,TS val 3617347860 ecr 1338686444], length 1448
2026-05-28 03:01:44.464144 IP 10.0.0.3.33008 > 10.0.0.2.5001: Flags [.], seq 39423:40871, ack 1, win 502, options [nop,nop,TS val 3617347860 ecr 1338686444], length 1448
2026-05-28 03:01:44.464145 IP 10.0.0.3.33008 > 10.0.0.2.5001: Flags [.], seq 40871:42319, ack 1, win 502, options [nop,nop,TS val 3617347860 ecr 1338686444], length 1448
2026-05-28 03:01:44.464145 IP 10.0.0.3.33008 > 10.0.0.2.5001: Flags [.], seq 42319:43767, ack 1, win 502, options [nop,nop,TS val 3617347860 ecr 1338686444], length 1448
2026-05-28 03:01:44.464146 IP 10.0.0.3.33008 > 10.0.0.2.5001: Flags [.], seq 43767:45215, ack 1, win 502, options [nop,nop,TS val 3617347860 ecr 1338686444], length 1448
2026-05-28 03:01:44.464147 IP 10.0.0.3.33008 > 10.0.0.2.5001: Flags [.], seq 45215:46663, ack 1, win 502, options [nop,nop,TS val 3617347860 ecr 1338686444], length 1448
