TCP,A,0.0387,2166.3786,10485760,0
R-UDP,A,0.225,372.8987,10485760,0
R-UDP,B,620.8216,0.2001,15525760,3600
TCP,B,0.0334,2509.0653,10485760,0
R-UDP,C,1345.9064,0.1221,20537040,7180
